"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"350 East 57th Street","1-01349-0032","1932","1","Multifamily Housing","75512","Not Available","Not Available","Not Available","Not Available","225.4","95","Not Available","75512","Not Available","75512","Not Available","Not Available","Not Available","75512","Not Available","Not Available","Not Available","Not Available","2308748","69265.6","692.6562513","252190.6"
"350 Fifth Avenue","1-00835-0041","1930","1","Office","2737426","Retail Store","79124","Other - Entertainment/Public Assembly","20852","12375.1","81","Not Available","2852257","2737426","Not Available","Not Available","79124","Not Available","2852257","Not Available","Not Available","Not Available","Not Available","72148243.1","1085977.5","10859.77496","27761103"
"350 Grand Street","1004080030","1910","1","K-12 School","313980","Heated Swimming Pool","0","Not Available","Not Available","1064.5","92","Not Available","313980","Not Available","Not Available","Not Available","Not Available","Not Available","313980","Not Available","Not Available","Not Available","Not Available","11775228.2","40600","405.9999904","1034331.9"
"350 Madison Avenue","1012790057","1922","1","Office","380775","Not Available","Not Available","Not Available","Not Available","1583.9","76","Not Available","380775","380775","Not Available","Not Available","Not Available","Not Available","380775","Not Available","Not Available","Not Available","Not Available","6083874.7","Not Available","Not Available","4351901.3"
"350 Park Avenue","1012870033","1960","1","Financial Office","506359","Office","49600","Bank Branch","13370","3069.7","58","Not Available","570778","49600","Not Available","Not Available","Not Available","Not Available","570778","Not Available","Not Available","Not Available","Not Available","16140663.9","Not Available","Not Available","7369085.4"
"350 West 50th Street","1-01040-7501","1988","1","Multifamily Housing","650206","Parking","182026","Retail Store","19089","3397.9","56","Not Available","669295","Not Available","650206","182026","19089","Not Available","669295","182026","Not Available","Not Available","Not Available","26969575.7","4233713.3","42337.13287","5098192.4"
"351 E 68 St","1-01443-0020","2003","1","Other - Specialty Hospital","39753","Office","20520","Not Available","Not Available","621.5","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","60273","20520","Not Available","Not Available","Not Available","Not Available","60273","Not Available","Not Available","Not Available","Not Available","2616909.2","Not Available","Not Available","1651440.7"
"351 East 51st Street","1-01344-7502","2002","1","Multifamily Housing","143189","Supermarket/Grocery Store","13551","Parking","5778","614.2","82","Not Available","156740","Not Available","143189","5778","Not Available","13551","156740","5778","Not Available","Not Available","Not Available","2597768.1","23147.9","231.4787851","1624494.3"
"353 East 83rd Street","1-01546-0023","1967","1","Multifamily Housing","267771","Not Available","Not Available","Not Available","Not Available","930.8","79","Not Available","267771","Not Available","267771","Not Available","Not Available","Not Available","267771","Not Available","Not Available","Not Available","Not Available","7370415.9","603172.1","6031.720903","1509963.4"
"353 Spring St","1059607501","2015","1","Repair Services (Vehicle, Shoe, Locksmith, etc.)","388255","Not Available","Not Available","Not Available","Not Available","3753.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","388255","Not Available","Not Available","Not Available","Not Available","Not Available","388255","Not Available","Not Available","Not Available","Not Available","38315813.5","Not Available","Not Available","4462167"
"355 Lexington Avenue","1012950023","1958","1","Office","250074","Financial Office","6198","Not Available","Not Available","802.9","82","Not Available","256272","250074","Not Available","Not Available","Not Available","Not Available","256272","Not Available","Not Available","Not Available","Not Available","2685253.6","Not Available","Not Available","2303550.4"
"355 West 16th St","1-00740-7502","1966","1","Hotel","196328","Not Available","Not Available","Not Available","Not Available","1717","49","Not Available","196328","Not Available","Not Available","Not Available","Not Available","Not Available","196328","Not Available","Not Available","Not Available","Not Available","6483606.1","5481197.2","54811.97188","3671269.6"
"357 E. 57th Street","1013507501","1984","1","Multifamily Housing","95347","Parking","13288","Other","4771","597.8","20","Not Available","100118","Not Available","95347","13288","Not Available","Not Available","100118","13288","Not Available","Not Available","Not Available","6480684.5","166273","1662.729846","585158.5"
"35 East 38 Street","1-00868-7501","1988","1","Multifamily Housing","93180","Parking","3500","Not Available","Not Available","460.3","61","Not Available","93180","Not Available","93180","3500","Not Available","Not Available","93180","3500","Not Available","Not Available","Not Available","4802508.5","160447.1","1604.470551","490006.8"
"35 East 75th Street","1-01390-0023","1959","1","Multifamily Housing","225202","Not Available","Not Available","Not Available","Not Available","730.2","92","Not Available","225202","Not Available","225202","Not Available","Not Available","Not Available","225202","Not Available","Not Available","Not Available","Not Available","5732986.9","18985.4","189.8538868","1285637.6"
"35 East 76th Street","1013910021","1930","1","Hotel","171485","Multifamily Housing","76657","Retail Store","36000","2812.4","25","Not Available","294142","Not Available","76657","Not Available","36000","Not Available","294142","Not Available","15318","Not Available","Not Available","29652998.7","202902.9","2029.0294","3067250"
"35 Montgomery Street","1-00259-0071","1963","1","Multifamily Housing","136070","Not Available","Not Available","Not Available","Not Available","1020","13","Not Available","136070","Not Available","136070","Not Available","Not Available","Not Available","136070","Not Available","Not Available","Not Available","Not Available","11510821.4","745832.7","7458.32678","796901.9"
"35 Park Avenue","1-00891-0003","1955","1","Multifamily Housing","154200","Parking","9400","Not Available","Not Available","638.4","71","Not Available","154200","Not Available","154200","9400","Not Available","Not Available","154200","9400","Not Available","Not Available","Not Available","5981401.4","212271.7","2122.71677","848252.1"
"35 Sutton Place","1013720073","1960","1","Multifamily Housing","228673","Parking","10474","Not Available","Not Available","959.4","75","Not Available","228673","Not Available","228673","10474","Not Available","Not Available","228673","10474","Not Available","Not Available","Not Available","9022914.5","277252.1","2772.521173","1274469.3"
"360 East 72nd Street","1-01446-0023","1963","1","Multifamily Housing","570640","Parking","57330","Supermarket/Grocery Store","21350","4254.3","16","Not Available","601990","Not Available","570640","57330","Not Available","21350","601990","57330","Not Available","Not Available","Not Available","17523168.5","31533760.4","315337.604","5222139"
"360 First Avenue","1-00978-0001","1947","21","Multifamily Housing","3122165","Not Available","Not Available","Not Available","Not Available","9876","91","Not Available","3122165","Not Available","3122165","Not Available","Not Available","Not Available","3122165","Not Available","Not Available","Not Available","Not Available","85383821.6","7037390.4","70373.9041","14136740.6"
"360 Lexington Avenue","1012950017","1959","1","Office","255139","Data Center","405","Not Available","Not Available","848.1","84","Not Available","255544","255139","Not Available","Not Available","Not Available","Not Available","255544","Not Available","Not Available","Not Available","Not Available","4188035.6","Not Available","Not Available","2102254.1"
"360 Madison Avenue","1-01281-7501","2003","1","Office","353299","Retail Store","6701","Not Available","Not Available","1717.9","76","Not Available","360000","353299","Not Available","Not Available","6701","Not Available","360000","Not Available","Not Available","Not Available","Not Available","6694962.2","Not Available","Not Available","4696541.1"
